juv,mum,sex,start,end,mum_juv_year,mj.gg,mj.gm,mj.rc
allo,ambe,M,2013-04-09,2014-04-09,1,0.015,0.014583333333333334,0.24875
allo,ambe,M,2014-04-09,2015-04-09,2,0.02321083172147002,0.02321083172147002,0.030222437137330756
allo,ambe,M,2015-04-09,2015-08-01,3,0.02610759493670886,0.021360759493670885,0.02689873417721519
amos,ambe,M,2010-02-16,2011-02-16,1,0.022737210319195452,0.022737210319195452,0.2245299519020551
amos,ambe,M,2011-02-16,2012-02-16,2,0.020327732835511304,0.019705455299730345,0.016179215930304917
amos,ambe,M,2012-02-16,2013-02-15,3,0.030217391304347824,0.02891304347826087,0.010217391304347826
amos,ambe,M,2013-02-15,2014-02-15,4,0.010144927536231883,0.009109730848861283,0.008902691511387164
amos,ambe,M,2014-02-15,2015-02-15,5,0.00849514563106796,0.005097087378640777,0.001941747572815534
amos,ambe,M,2015-02-15,2015-08-01,6,0.013829787234042552,0.010638297872340425,0.011170212765957447
atom,arte,F,2009-02-21,2010-02-21,1,0.009495982468955442,0.009495982468955442,0.18864134404674945
atom,arte,F,2010-02-21,2011-02-21,2,0.028804717623043773,0.027897482422317987,0.030845996824676796
atom,arte,F,2011-02-21,2012-02-21,3,0.014330218068535825,0.010176531671858774,0.022429906542056073
atom,arte,F,2012-02-21,2012-04-09,4,0.00425531914893617,0.002127659574468085,0.01276595744680851
bike,bif,M,2009-03-26,2010-03-26,1,0.019064124783362217,0.019064124783362217,0.23242826882341613
bike,bif,M,2010-03-26,2011-03-26,2,0.0247732802477328,0.023446140234461402,0.05242203052422031
bike,bif,M,2011-03-26,2012-03-25,3,0.02069108214359611,0.02069108214359611,0.010966273536105938
bike,bif,M,2012-03-25,2013-03-25,4,0.03967227253126347,0.037516170763260026,0.018758085381630013
bike,bif,M,2013-03-25,2014-03-25,5,0.031715623669646656,0.0280970625798212,0.008301404853128991
bike,bif,M,2014-03-25,2015-03-25,6,0.025743564108972758,0.02174456385903524,0.00849787553111722
bike,bif,M,2015-03-25,2015-08-01,7,0.015460729746444033,0.012987012987012988,0.008658008658008658
blas,blaz,M,2012-02-02,2013-02-01,1,0.007931404072883173,0.007931404072883173,0.14833869239013933
blas,blaz,M,2013-02-01,2014-02-01,2,0.01498371335504886,0.014115092290988056,0.028447339847991315
blas,blaz,M,2014-02-01,2015-02-01,3,0.01341136308217508,0.01341136308217508,0.011948305291392344
blas,blaz,M,2015-02-01,2015-08-01,4,0.005268199233716475,0.005268199233716475,0.010057471264367816
bong,bonn,M,2013-05-04,2014-05-04,1,0.017691659646166806,0.017691659646166806,0.18218197135636058
bong,bonn,M,2014-05-04,2015-05-04,2,0.05105853051058531,0.05056039850560398,0.030635118306351183
bong,bonn,M,2015-05-04,2015-08-01,3,0.007407407407407408,0.007407407407407408,9.25925925925926e-4
boyd,buai,F,2012-04-04,2013-04-04,1,0.009383663894220516,0.009383663894220516,0.20217530390275112
boyd,buai,F,2013-04-04,2014-04-04,2,0.03219575016097875,0.028546898476067825,0.053015668598411676
boyd,buai,F,2014-04-04,2015-04-04,3,0.017733990147783252,0.01650246305418719,0.029556650246305417
boyd,buai,F,2015-04-04,2015-08-01,4,0.02201974183750949,0.012908124525436599,0.018223234624145785
brav,bow,M,2013-03-27,2014-03-27,1,0.010564898663216905,0.010564898663216905,0.1884432945235015
brav,bow,M,2014-03-27,2015-03-27,2,0.015781563126252503,0.01503006012024048,0.018787575150300603
brav,bow,M,2015-03-27,2015-08-01,3,0.006381620931716656,0.006381620931716656,0.008296107211231652
brog,bow,F,2009-01-16,2010-01-16,1,0.00641025641025641,0.00641025641025641,0.19029304029304028
brog,bow,F,2010-01-16,2011-01-16,2,0.018913569386408622,0.018913569386408622,0.034088409940620186
brog,bow,F,2011-01-16,2012-01-16,3,0.009950248756218905,0.009950248756218905,0.010986733001658375
brog,bow,F,2012-01-16,2013-01-15,4,0.018996798292422627,0.016862326574172894,0.012379935965848453
brog,bow,F,2013-01-15,2014-01-15,5,0.014273356401384083,0.006487889273356401,0.008434256055363323
brog,bow,F,2014-01-15,2015-01-15,6,0.013751507840772014,0.005790108564535585,0.008443908323281062
brog,bow,F,2015-01-15,2015-08-01,7,0.01329198050509526,0.003544528134692069,0.004430660168365086
burn,blaz,F,2009-02-28,2010-02-28,1,0.015140459686245895,0.015140459686245895,0.1585187887632251
burn,blaz,F,2010-02-28,2011-02-28,2,0.023069894929191412,0.021242576518958427,0.023526724531749657
burn,blaz,F,2011-02-28,2012-02-28,3,0.035897435897435895,0.026871794871794873,0.010051282051282051
burn,blaz,F,2012-02-28,2013-02-27,4,0.0556749785038693,0.02987962166809974,0.005374032674118658
burn,blaz,F,2013-02-27,2014-02-27,5,0.03923278116826504,0.021360069747166522,0.008500435919790758
burn,blaz,F,2014-02-27,2015-02-27,6,0.021404521404521405,0.011784511784511785,0.008658008658008658
burn,blaz,F,2015-02-27,2015-08-01,7,0.008087810514153668,0.0028885037550548816,0.006932409012131715
dais,daff,F,2010-02-21,2011-02-21,1,0.011320754716981131,0.011320754716981131,0.17269700332963375
dais,daff,F,2011-02-21,2012-02-21,2,0.034181078331637846,0.033367243133265514,0.024415055951169887
dais,daff,F,2012-02-21,2013-02-20,3,0.009656652360515022,0.009012875536480686,0.004935622317596567
dais,daff,F,2013-02-20,2014-02-20,4,0.019174041297935103,0.011167298777918246,0.0134850400337126
dais,daff,F,2014-02-20,2015-02-20,5,0.012857142857142857,0.008095238095238095,0.0016666666666666668
dais,daff,F,2015-02-20,2015-08-01,6,0.031028851388132824,0.011431682090364725,0.02885138813282526
dame,dixi,F,2012-01-07,2013-01-06,1,0.0070967741935483875,0.0070967741935483875,0.14408602150537633
dame,dixi,F,2013-01-06,2014-01-06,2,0.023620401337792644,0.0225752508361204,0.019021739130434784
dame,dixi,F,2014-01-06,2015-01-06,3,0.026202953787517864,0.02096236303001429,0.015245354930919485
dame,dixi,F,2015-01-06,2015-08-01,4,0.013299013299013299,0.010296010296010296,0.002574002574002574
dann,daff,M,2013-02-01,2014-02-01,1,0.008412197686645636,0.008412197686645636,0.21619348054679285
dann,daff,M,2014-02-01,2015-02-01,2,0.016892695693552225,0.016892695693552225,0.02569593147751606
dann,daff,M,2015-02-01,2015-08-01,3,0.008716707021791767,0.005326876513317191,0.020823244552058112
davi,didg,F,2013-09-09,2014-09-09,1,0.017756604590731917,0.0173235166738848,0.23191857947163275
davi,didg,F,2014-09-09,2015-08-01,2,0.02853185595567867,0.026592797783933517,0.019113573407202215
dean,desd,M,2011-01-09,2012-01-09,1,0.008382229673093043,0.008382229673093043,0.2460184409052808
dean,desd,M,2012-01-09,2013-01-08,2,0.014941302027748132,0.014941302027748132,0.029455709711846318
dean,desd,M,2013-01-08,2014-01-08,3,0.014813269351137075,0.01418735656165241,0.013561443772167744
dean,desd,M,2014-01-08,2015-01-08,4,0.01606046291922532,0.015115729806329713,0.011100614076523381
dean,desd,M,2015-01-08,2015-08-01,5,0.02208067940552017,0.02038216560509554,0.0118895966029724
dext,dj,M,2013-03-24,2014-03-24,1,0.01344717182497332,0.01344717182497332,0.23991462113127002
dext,dj,M,2014-03-24,2015-03-24,2,0.03017865765330758,0.03017865765330758,0.02221149203283438
dext,dj,M,2015-03-24,2015-08-01,3,0.013725490196078431,0.01045751633986928,0.00980392156862745
dubl,dixi,M,2009-03-05,2010-03-05,1,0.008982035928143712,0.008982035928143712,0.17533682634730538
